id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
137,1,1,24,2021-04-24 01:17:40.987126+02,38,2021-04-26 09:39:08.047924
138,1,1,24,2021-04-24 01:22:41.079784+02,38,2021-04-26 09:39:08.201541
139,1,1,24,2021-04-24 01:27:41.151957+02,38,2021-04-26 09:39:08.340042
140,1,1,24,2021-04-24 01:32:41.252121+02,38,2021-04-26 09:39:08.490056
141,1,1,23,2021-04-24 01:37:41.352131+02,38,2021-04-26 09:39:08.641949
142,1,1,23,2021-04-24 01:42:41.452265+02,38,2021-04-26 09:39:08.786446
143,1,1,23,2021-04-24 01:47:41.552392+02,38,2021-04-26 09:39:08.997353
144,1,1,23,2021-04-24 01:52:41.639127+02,38,2021-04-26 09:39:09.407321
145,1,1,23,2021-04-24 01:57:41.739343+02,38,2021-04-26 09:39:09.715395
146,1,1,23,2021-04-24 02:02:41.839879+02,38,2021-04-26 09:39:10.139962
147,1,1,23,2021-04-24 02:07:41.939665+02,39,2021-04-26 09:39:10.283863
148,1,1,23,2021-04-24 02:12:42.039769+02,39,2021-04-26 09:39:10.426937
149,1,1,23,2021-04-24 02:17:42.14002+02,39,2021-04-26 09:39:10.571495
150,1,1,23,2021-04-24 02:22:42.239928+02,39,2021-04-26 09:39:10.710668
151,1,1,23,2021-04-24 02:27:42.521889+02,39,2021-04-26 09:39:10.850007
152,1,1,23,2021-04-24 02:32:42.622104+02,39,2021-04-26 09:39:10.998046
153,1,1,23,2021-04-24 02:37:42.722281+02,39,2021-04-26 09:39:11.1311
154,1,1,23,2021-04-24 02:42:42.822308+02,39,2021-04-26 09:39:11.271484
155,1,1,23,2021-04-24 02:47:42.922504+02,39,2021-04-26 09:39:11.408865
156,1,1,23,2021-04-24 02:52:43.022515+02,39,2021-04-26 09:39:11.556582
157,1,1,22,2021-04-24 02:57:43.071864+02,39,2021-04-26 09:39:11.708401
158,1,1,22,2021-04-24 03:02:43.172017+02,39,2021-04-26 09:39:11.857684
159,1,1,22,2021-04-24 03:07:43.272154+02,40,2021-04-26 09:39:12.006079
160,1,1,22,2021-04-24 03:12:43.306791+02,40,2021-04-26 09:39:12.152226
161,1,1,22,2021-04-24 03:17:43.306983+02,40,2021-04-26 09:39:12.299842
162,1,1,22,2021-04-24 03:22:43.407231+02,40,2021-04-26 09:39:12.454999
163,1,1,22,2021-04-24 03:27:43.507388+02,40,2021-04-26 09:39:12.604159
164,1,1,22,2021-04-24 03:32:43.607383+02,40,2021-04-26 09:39:12.74966
165,1,1,22,2021-04-24 03:37:43.663959+02,40,2021-04-26 09:39:12.892661
166,1,1,22,2021-04-24 03:42:43.764038+02,40,2021-04-26 09:39:13.03338
167,1,1,22,2021-04-24 03:47:43.864142+02,40,2021-04-26 09:39:13.183153
168,1,1,22,2021-04-24 03:52:43.871804+02,40,2021-04-26 09:39:13.326055
169,1,1,22,2021-04-24 03:57:43.971965+02,40,2021-04-26 09:39:13.466954
170,1,1,22,2021-04-24 04:02:44.072179+02,40,2021-04-26 09:39:13.606963
171,1,1,22,2021-04-24 04:07:44.172281+02,40,2021-04-26 09:39:13.748513
172,1,1,22,2021-04-24 04:12:44.272311+02,40,2021-04-26 09:39:13.885087
173,1,1,22,2021-04-24 04:17:44.372542+02,40,2021-04-26 09:39:14.030106
174,1,1,22,2021-04-24 04:22:44.472629+02,41,2021-04-26 09:39:14.169674
175,1,1,22,2021-04-24 04:27:44.57276+02,41,2021-04-26 09:39:14.314429
176,1,1,22,2021-04-24 04:32:44.613785+02,41,2021-04-26 09:39:14.46377
177,1,1,22,2021-04-24 04:37:44.701851+02,41,2021-04-26 09:39:14.610118
178,1,1,22,2021-04-24 04:42:44.802013+02,40,2021-04-26 09:39:14.750626
179,1,1,22,2021-04-24 04:47:44.859007+02,41,2021-04-26 09:39:14.894596
180,1,1,22,2021-04-24 04:52:44.959101+02,41,2021-04-26 09:39:15.034414
